index,x[mm],y[mm]
1,0.000000,0.000000
2,-6.300000,10.911920
3,4.200000,-7.274613
4,-2.100000,3.637307
5,6.300000,10.911920
6,-2.100000,-3.637307
7,12.600000,0.000000
8,2.100000,3.637307
9,-12.600000,0.000000
10,2.100000,-3.637307
11,-6.300000,-10.911920
12,-4.200000,0.000000
13,6.300000,-10.911920
14,4.200000,0.000000
15,-4.200000,7.274613
16,-4.200000,-7.274613
17,8.400000,0.000000
18,-8.400000,0.000000
19,4.200000,7.274613
20,0.000000,-7.274613
21,-6.300000,3.637307
22,6.300000,3.637307
23,-6.300000,-3.637307
24,0.000000,7.274613
25,6.300000,-3.637307
26,8.400000,7.274613
27,-2.100000,10.911920
28,-10.500000,3.637307
29,-8.400000,-7.274613
30,2.100000,-10.911920
31,10.500000,-3.637307
32,2.100000,10.911920
33,-8.400000,7.274613
34,-10.500000,-3.637307
35,-2.100000,-10.911920
36,8.400000,-7.274613
37,10.500000,3.637307
38,8.400000,14.549227
39,-8.400000,14.549227
40,-16.800000,0.000000
41,-8.400000,-14.549227
42,8.400000,-14.549227
43,16.800000,0.000000
44,4.200000,14.549227
45,-10.500000,10.911920
46,-14.700000,-3.637307
47,-4.200000,-14.549227
48,10.500000,-10.911920
49,14.700000,3.637307
50,0.000000,14.549227
51,-12.600000,7.274613
52,-12.600000,-7.274613
53,0.000000,-14.549227
54,12.600000,-7.274613
55,12.600000,7.274613
56,-4.200000,14.549227
57,-14.700000,3.637307
58,-10.500000,-10.911920
59,4.200000,-14.549227
60,14.700000,-3.637307
61,10.500000,10.911920
62,-10.500000,18.186533
63,-21.000000,0.000000
64,-10.500000,-18.186533
65,10.500000,-18.186533
66,21.000000,0.000000
67,10.500000,18.186533
68,-12.600000,14.549227
69,-18.900000,-3.637307
70,-6.300000,-18.186533
71,12.600000,-14.549227
72,18.900000,3.637307
73,6.300000,18.186533
74,-14.700000,10.911920
75,-16.800000,-7.274613
76,-2.100000,-18.186533
77,14.700000,-10.911920
78,16.800000,7.274613
79,2.100000,18.186533
80,-16.800000,7.274613
81,-14.700000,-10.911920
82,2.100000,-18.186533
83,16.800000,-7.274613
84,14.700000,10.911920
85,-2.100000,18.186533
86,-18.900000,3.637307
87,-12.600000,-14.549227
88,6.300000,-18.186533
89,18.900000,-3.637307
90,12.600000,14.549227
91,-6.300000,18.186533
92,-25.200000,0.000000
93,-12.600000,-21.823840
94,12.600000,-21.823840
95,25.200000,0.000000
96,12.600000,21.823840
97,-12.600000,21.823840
98,-23.100000,-3.637307
99,-8.400000,-21.823840
100,14.700000,-18.186533
101,23.100000,3.637307
102,8.400000,21.823840
103,-14.700000,18.186533
104,-21.000000,-7.274613
105,-4.200000,-21.823840
106,16.800000,-14.549227
107,21.000000,7.274613
108,4.200000,21.823840
109,-16.800000,14.549227
110,-18.900000,-10.911920
111,0.000000,-21.823840
112,18.900000,-10.911920
113,18.900000,10.911920
114,0.000000,21.823840
115,-18.900000,10.911920
116,-16.800000,-14.549227
117,4.200000,-21.823840
118,21.000000,-7.274613
119,16.800000,14.549227
120,-4.200000,21.823840
121,-21.000000,7.274613
122,-14.700000,-18.186533
123,8.400000,-21.823840
124,23.100000,-3.637307
125,14.700000,18.186533
126,-8.400000,21.823840
127,-23.100000,3.637307
128,-10.500000,-25.461147
129,16.800000,-21.823840
130,27.300000,3.637307
131,10.500000,25.461147
132,-16.800000,21.823840
133,-27.300000,-3.637307
134,-6.300000,-25.461147
135,18.900000,-18.186533
136,25.200000,7.274613
137,6.300000,25.461147
138,-18.900000,18.186533
